term,normalized_text,categories,success_count,failure_count,total_count,avg_confidence,translation_de,translation_fr,translation_es,translation_it,sources,file_count,notes,verified
leukocytosis,Leukocytosis,SymptomOrSign,2,0,2,0.955,Leukozytose,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
film,film - layer,ExaminationName,0,2,2,0.915,,,,,,2,Failed: 2/2; Files: 2,FALSE
duodenum,Duodenum,BodyStructure,0,2,2,0.99,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
aortic dissection,Dissection of aorta,Diagnosis,2,0,2,1,Aortendissektion,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
stent,"Stent, device",TreatmentName,2,0,2,0.98,Stent,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
vascular stent,Vascular stent,TreatmentName,0,2,2,0.96,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
acute disease,Acute Disease,Diagnosis,2,0,2,1,Akute Krankheit,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
abx,Antibiotics,MedicationClass,0,2,2,0.975,,,,,,2,Failed: 2/2; Files: 2,FALSE
chest pressure,Chest pressure,SymptomOrSign,0,2,2,1,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
hila,Hilum,"BodyStructure, SymptomOrSign",0,2,2,0.89,,,,,,2,Failed: 2/2; Files: 2,FALSE
MSSA pneumonia,Pneumonia caused by methicillin susceptible Staphylococcus aureus,Diagnosis,0,2,2,0.995,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
loss of height,Decrease in height,SymptomOrSign,0,2,2,0.995,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
treated,Therapeutic procedure,TreatmentName,0,2,2,0.965,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
pulmonary consolidation,Lung consolidation,Diagnosis,0,2,2,1,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
abnormality,Abnormal,SymptomOrSign,2,0,2,0.975,Abnorm,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
Substernal,Structure of substernal region,BodyStructure,0,2,2,0.88,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
magnified,Magnification,SymptomOrSign,0,2,2,0.98,,,,,,2,Failed: 2/2; Files: 2,FALSE
resection,Excision,TreatmentName,2,0,2,0.955,Exzision,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
x-ray,Diagnostic radiologic examination,ExaminationName,0,2,2,0.985,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
Eventration,Eventration,SymptomOrSign,0,2,2,0.985,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
"within
 normal limits",Normal limits,SymptomOrSign,0,2,2,0.925,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
pneumocystis infection,Pneumocystis Infections,Diagnosis,0,2,2,0.995,,,,,,1,Failed: 2/2; Files: 1,FALSE
C5,C5 innervation,BodyStructure,0,2,2,0.965,,,,,,2,Failed: 2/2; Files: 2,FALSE
central line placement,Central line placement,TreatmentName,0,2,2,0.985,,,,,,2,Failed: 2/2; Files: 2,FALSE
"PICC
 line",Peripherally inserted central catheter (physical object),TreatmentName,0,2,2,0.985,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
Coronary artery disease,Coronary Artery Disease,Diagnosis,0,2,2,1,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
PICC line placement,Peripherally Inserted Central Catheter Line Insertion,TreatmentName,0,2,2,0.97,,,,,,2,Failed: 2/2; Files: 2,FALSE
pulmonary process,PULMONARY PROCESS,Diagnosis,0,2,2,0.855,,,,,,2,Failed: 2/2; Files: 2,FALSE
MRI,Magnetic Resonance Imaging,ExaminationName,0,2,2,0.985,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
pleural abnormality,Abnormal pleura morphology,SymptomOrSign,0,2,2,0.955,,,,,,2,Failed: 2/2; Files: 2,FALSE
normal heart size,heart size normal,SymptomOrSign,0,2,2,0.915,,,,,,2,Failed: 2/2; Files: 2,FALSE
mediastinal widening,Widened mediastinum,SymptomOrSign,2,0,2,0.985,Mediastinalverbreiterung,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
pulmonary metastases,Secondary malignant neoplasm of lung,Diagnosis,2,0,2,0.99,Metastatische bösartige Neubildung der Lunge,,,,umls,1,Success: 2/2; Sources: umls; Files: 1,FALSE
Breast cancer,Malignant neoplasm of breast,Diagnosis,0,2,2,1,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
back pain,Back Pain,SymptomOrSign,2,0,2,0.995,Rückenschmerzen,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
breast,Breast,BodyStructure,0,2,2,0.97,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
pacemaker placement,Implantation of cardiac pacemaker,TreatmentName,2,0,2,0.985,Implantation eines Herzschrittmachers,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
AP portable view,View AP portable,ExaminationName,0,2,2,0.96,,,,,,2,Failed: 2/2; Files: 2,FALSE
"pigtail
 catheter",pigtail catheters,TreatmentName,0,2,2,0.99,,,,,,2,Failed: 2/2; Files: 2,FALSE
hyperexpansion,Hyperdistention,SymptomOrSign,0,2,2,0.995,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
Dobhoff tube,Nasoduodenal feeding tube,TreatmentName,0,2,2,0.99,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
drainage,Drainage procedure,TreatmentName,0,2,2,0.965,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
CT abdomen and pelvis,Multisection:Find:Pt:Abdomen+Pelvis:Doc:CT,ExaminationName,0,2,2,0.95,,,,,,1,Failed: 2/2; Files: 1,FALSE
VATS,"Thoracic Surgery, Video-Assisted",TreatmentName,0,2,2,0.925,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
non-small cell lung cancer,Non-Small Cell Lung Carcinoma,Diagnosis,2,0,2,1,Nicht-kleinzelliges Bronchialkarzinom,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
major fissure,Major fissure,BodyStructure,0,2,2,0.975,,,,,,2,Failed: 2/2; Files: 2,FALSE
sclerotic,Sclerosis,SymptomOrSign,0,2,2,0.89,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
enlarged thyroid gland,Goiter,SymptomOrSign,2,0,2,0.97,Kropf,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
steroids,Steroids,MedicationClass,0,2,2,0.985,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
normal in size,Normal size,SymptomOrSign,0,2,2,0.82,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
infectious pneumonia,infective pneumonia,Diagnosis,0,2,2,0.995,,,,,,2,Failed: 2/2; Files: 2,FALSE
neoplasm,Neoplasms,Diagnosis,0,2,2,0.985,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
bronchiolitis,Bronchiolitis,Diagnosis,0,2,2,0.98,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
upper lobes,Structure of upper lobe of lung,BodyStructure,0,2,2,0.915,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
malignancy,Malignant Neoplasms,Diagnosis,2,0,2,1,Bösartige Neubildung,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
zone,Zone,BodyStructure,0,2,2,0.825,,,,,,2,Failed: 2/2; Files: 2,FALSE
rheumatoid arthritis,Rheumatoid Arthritis,Diagnosis,2,0,2,1,Rheumatoide Arthritis,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
"fluid
 overload",Hypervolemia (finding),SymptomOrSign,2,0,2,0.91,Hypervolämie,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
tube placement,placement of tube,TreatmentName,0,2,2,0.985,,,,,,2,Failed: 2/2; Files: 2,FALSE
"chest
 wall",Chest wall structure,BodyStructure,0,2,2,0.995,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
pneumopericardium,Pneumopericardium,Diagnosis,0,2,2,0.965,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
ribs,Bone structure of rib,BodyStructure,0,2,2,0.935,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
pleuritic chest pain,Pleuritic pain,SymptomOrSign,2,0,2,0.89,Pleuraler Thoraxschmerz,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
lines,Lines - QueryQuantityUnit,TreatmentName,0,2,2,0.91,,,,,,2,Failed: 2/2; Files: 2,FALSE
tubes,biomedical tube device,TreatmentName,0,2,2,0.96,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
opacifications,Opacification,SymptomOrSign,0,2,2,1,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
rib pain,Rib pain,SymptomOrSign,2,0,2,0.96,Rippenschmerzen,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
size,size,SymptomOrSign,0,2,2,0.975,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
exams,Medical Examination,ExaminationName,2,0,2,0.94,Medizinisches Assessment,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
lung fields,Lung field,BodyStructure,0,2,2,0.855,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
volume overload,Hypervolemia (finding),SymptomOrSign,2,0,2,0.88,Hypervolämie,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
extubation,Tracheal Extubation,TreatmentName,0,2,2,1,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
cardiac border,Cardiac border,BodyStructure,0,2,2,0.94,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
elevated right hemidiaphragm,Elevated right hemidiaphragm,SymptomOrSign,0,2,2,0.975,,,,,,2,Failed: 2/2; Files: 2,FALSE
congestive heart failure,Congestive heart failure,Diagnosis,2,0,2,0.995,Angeborenes Herzversagen,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
Discitis,Discitis,Diagnosis,2,0,2,0.99,Spondylodiszitis,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
Lymphoma,Lymphoma,Diagnosis,2,0,2,1,Malignes Lymphom,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
obscured,Obscure,SymptomOrSign,0,2,2,0.905,,,,,,2,Failed: 2/2; Files: 2,FALSE
"lower
 lobe",Structure of lower lobe of lung,BodyStructure,0,2,2,0.895,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
heart size normal,heart size normal,SymptomOrSign,0,2,2,0.885,,,,,,2,Failed: 2/2; Files: 2,FALSE
arrest,Cardiac Arrest,Diagnosis,2,0,2,0.99,Asystolie,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
intra-aortic balloon pump,Intra-Aortic Balloon Pumping,TreatmentName,0,2,2,0.89,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
change,Changing,SymptomOrSign,0,2,2,0.89,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
pulmonary emphysema,Pulmonary Emphysema,Diagnosis,2,0,2,0.975,Lungenemphysem,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
chest tube removal,Chest tube removal,TreatmentName,0,2,2,0.965,,,,,,2,Failed: 2/2; Files: 2,FALSE
lateral projections,Lateral projection,ExaminationName,0,2,2,0.98,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
left lower lobe pneumonia,Left lower zone pneumonia,Diagnosis,0,2,2,1,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
left atrium,Left atrial structure,BodyStructure,0,2,2,1,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
left ventricle,Left ventricular structure,BodyStructure,0,2,2,1,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
lower lobes,Structure of lower lobe of lung,BodyStructure,0,2,2,0.88,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
ascending aortic aneurysm,"Aneurysm, Ascending Aorta",Diagnosis,0,2,2,0.97,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
hemodialysis catheter,Hemodialysis catheter,TreatmentName,0,2,2,0.95,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
aortic,Aorta,"SymptomOrSign, TreatmentName",0,2,2,0.985,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
hyperinflation,Hyperdistention,SymptomOrSign,0,2,2,0.82,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
Clips,Clip,TreatmentName,0,2,2,0.99,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
diuresis,Therapeutic diuresis,TreatmentName,0,2,2,0.935,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
mediastinal lipomatosis,mediastinal lipomatosis,Diagnosis,0,2,2,0.93,,,,,,2,Failed: 2/2; Files: 2,FALSE
PEG,Percutaneous endoscopic gastrostomy,TreatmentName,2,0,2,1,Perkutane endoskopische Einlage einer Gastrostomiesonde,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
pulmonary opacities,Pulmonary opacity,SymptomOrSign,0,2,2,0.85,,,,,,1,Failed: 2/2; Files: 1,FALSE
"pleural
  effusions",Pleural effusion (disorder),Diagnosis,2,0,2,0.82,Pleuraerguss,,,,umls,1,Success: 2/2; Sources: umls; Files: 1,FALSE
lobes,lobe,BodyStructure,0,2,2,0.985,,,,,,2,Failed: 2/2; Files: 2,FALSE
disease,Disease,Diagnosis,2,0,2,0.98,Krankheit,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
"acute
 pneumonia",Acute pneumonia,Diagnosis,0,2,2,1,,,,,,2,Failed: 2/2; Files: 2,FALSE
portal hypertension,Portal Hypertension,Diagnosis,2,0,2,0.995,Portale Hypertonie,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
TIPS,Transjugular intrahepatic portosystemic shunt (procedure),TreatmentName,0,2,2,1,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
fluids,Fluid Therapy,MedicationClass,0,2,2,0.87,,,,,,1,Failed: 2/2; Files: 1,FALSE
right upper quadrant,Structure of right upper quadrant of abdomen,BodyStructure,0,2,2,0.86,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
encephalopathy,Encephalopathies,Diagnosis,0,2,2,0.98,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
supraclavicular,Supraclavicular approach,BodyStructure,0,2,2,0.91,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
physical exam,Physical Examination,ExaminationName,0,2,2,0.985,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
"chest
 radiographs",Plain chest X-ray,ExaminationName,2,0,2,0.95,Röntgenaufnahme der Brust,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
bronchopneumonia,Bronchopneumonia,Diagnosis,2,0,2,1,Bronchopneumonie,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
"pulm
 edema",Pulmonary Edema,Diagnosis,2,0,2,0.97,Lungenödem,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
Vascular clips,Vascular clip,TreatmentName,0,2,2,0.95,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
diaphragms,Respiratory Diaphragm,BodyStructure,0,2,2,0.975,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
lung mass,Lung mass,SymptomOrSign,2,0,2,0.94,Raumforderung der Lunge,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
hilum,Hilum,BodyStructure,0,2,2,0.995,,,,,,1,Failed: 2/2; Files: 1,FALSE
lethargy,Lethargy,SymptomOrSign,2,0,2,1,Lethargie,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
evaluate for interval,Evaluation Interval,ExaminationName,0,2,2,0.845,,,,,,2,Failed: 2/2; Files: 2,FALSE
neutropenia,Neutropenia,Diagnosis,0,2,2,0.895,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
coiled,Coils (formation),SymptomOrSign,0,2,2,0.83,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
WBC,White Blood Cell Count procedure,ExaminationName,2,0,2,0.98,Leukozytenzahl,,,,umls,1,Success: 2/2; Sources: umls; Files: 1,FALSE
nodular opacities,Nodular Opacity,SymptomOrSign,0,2,2,0.97,,,,,,1,Failed: 2/2; Files: 1,FALSE
kidney transplant,Kidney Transplantation,TreatmentName,0,2,2,1,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
mediastinal shift,Mediastinal shift,SymptomOrSign,0,2,2,0.99,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
soft tissue,soft tissue,SymptomOrSign,0,2,2,0.98,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
mass effect,Mass Effect,SymptomOrSign,0,2,2,0.98,,,,,,1,Failed: 2/2; Files: 1,FALSE
aortic valve replacement,Replacement of aortic valve (procedure),TreatmentName,0,2,2,0.995,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
CT abdomen,CT of abdomen,ExaminationName,0,2,2,0.98,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
mucous plugging,Mucous plugging,SymptomOrSign,0,1,1,1,,,,,,1,Failed: 1/1; Files: 1,FALSE
lobar collapse,Atelectasis,SymptomOrSign,1,0,1,0.97,Atelektase,,,,umls,1,Success: 1/1; Sources: umls; Files: 1,FALSE
ventilated,Ventilated,SymptomOrSign,0,1,1,0.89,,,,,,1,Failed: 1/1; Files: 1,FALSE
Enlargement of the pulmonary arteries,Dilatation of pulmonary artery (disorder),SymptomOrSign,0,1,1,0.96,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
pulmonary arterial hypertension,Pulmonary arterial hypertension,Diagnosis,0,1,1,1,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
shoulder,Shoulder,BodyStructure,0,1,1,0.98,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
"Pulmonary arterial
 hypertension",Pulmonary arterial hypertension,Diagnosis,0,1,1,1,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
"dual-chamber
 pacemaker",dual-chamber pacemaker (procedure),TreatmentName,0,1,1,1,,,,,,1,Failed: 1/1; Files: 1,FALSE
generator,Generator Dosage Form,TreatmentName,0,1,1,0.88,,,,,,1,Failed: 1/1; Files: 1,FALSE
back surgery,Back surgery,TreatmentName,0,1,1,0.99,,,,,,1,Failed: 1/1; Files: 1,FALSE
biliary stents,Insertion of biliary stent,TreatmentName,0,1,1,0.99,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
"central venous
 catheter","Central venous catheter, device",TreatmentName,1,0,1,0.93,Zentraler Venenkatheter,,,,umls,1,Success: 1/1; Sources: umls; Files: 1,FALSE
kinking,Pseudocoarctation,SymptomOrSign,0,1,1,0.97,,,,,,1,Failed: 1/1; Files: 1,FALSE
antrum,Antrum,BodyStructure,0,1,1,0.95,,,,,,1,Failed: 1/1; Files: 1,FALSE
"CT
 scan",X-Ray Computed Tomography,ExaminationName,0,1,1,0.99,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
thoracostomy,Thoracostomy,TreatmentName,1,0,1,0.98,Anlage eines Thorax-Stomas,,,,umls,1,Success: 1/1; Sources: umls; Files: 1,FALSE
displaces heart,heart; displacement,SymptomOrSign,0,1,1,0.96,,,,,,1,Failed: 1/1; Files: 1,FALSE
CT chest.,Chest CT,ExaminationName,0,1,1,0.92,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
calcified granulomas,Calcified granuloma,SymptomOrSign,0,1,1,0.82,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
fibrothorax,Fibrothorax,Diagnosis,0,1,1,0.97,,,,,,1,Failed: 1/1; Files: 1,FALSE
mastectomy,Mastectomy,TreatmentName,0,1,1,1,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
clip,Clip,TreatmentName,0,1,1,0.95,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
pelvis,Pelvis,BodyStructure,0,1,1,1,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
Wedging,Wedge,SymptomOrSign,0,1,1,0.83,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
thoracic vertebral bodies,Structure of body of thoracic vertebra,BodyStructure,0,1,1,0.93,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
AML,"Leukemia, Myelocytic, Acute",Diagnosis,0,1,1,1,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
"peribronchial
 cuffing",Peribronchial Cuffing,SymptomOrSign,0,1,1,0.96,,,,,,1,Failed: 1/1; Files: 1,FALSE
balloon pump,Balloon pump,TreatmentName,0,1,1,0.93,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
"intra aortic
 balloon pump",Intra-Aortic Balloon Pumping,TreatmentName,0,1,1,0.99,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
intra aortic balloon pump,Intra-Aortic Balloon Pumping,TreatmentName,0,1,1,0.88,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
Cervical spine fractures,Fracture of cervical spine,Diagnosis,1,0,1,0.99,Fraktur der HWS - Halswirbelsäule,,,,umls,1,Success: 1/1; Sources: umls; Files: 1,FALSE
mediastinal bleeding,Mediastinal Hemorrhage,SymptomOrSign,0,1,1,0.92,,,,,,1,Failed: 1/1; Files: 1,FALSE
"nasogastric
 tube",Nasogastric tube procedures,TreatmentName,0,1,1,0.97,,,,,,1,Failed: 1/1; Files: 1,FALSE
"interstitial
 markings",Interstitial marker,SymptomOrSign,0,1,1,1,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
Single view,View,ExaminationName,0,1,1,0.87,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
"subarachnoid
 hemorrhage",Subarachnoid Hemorrhage,Diagnosis,1,0,1,0.96,Subarachnoidalblutung,,,,umls,1,Success: 1/1; Sources: umls; Files: 1,FALSE
aortic tortuosity,Aortic tortuosity,SymptomOrSign,0,1,1,0.94,,,,,,1,Failed: 1/1; Files: 1,FALSE
PET CT,PET/CT scan,ExaminationName,0,1,1,0.99,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
pleural plaques,Pleural plaque,SymptomOrSign,0,1,1,0.87,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
EF,Ejection fraction (procedure),ExaminationName,0,1,1,1,,,,,,1,Failed: 1/1; Files: 1,FALSE
gastroparesis,Gastroparesis,Diagnosis,0,1,1,1,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
cardiac surgery,Cardiac Surgery procedures,TreatmentName,1,0,1,1,Herzoperation,,,,umls,1,Success: 1/1; Sources: umls; Files: 1,FALSE
CD4,CD4 Expressing Cell Count,ExaminationName,0,1,1,1,,,,,,1,Failed: 1/1; Files: 1,FALSE
paratracheal,Paratracheal,BodyStructure,0,1,1,0.99,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
"calcified lymph
 nodes",Calcified lymph nodes,SymptomOrSign,0,1,1,0.97,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
overdose,Drug Overdose,Diagnosis,0,1,1,0.99,,,,,,1,Failed: 1/1; Files: 1,FALSE
Aortic arch calcifications,Aortic arch calcification,SymptomOrSign,0,1,1,0.87,,,,,,1,Failed: 1/1; Files: 1,FALSE
"upper
 lobes",Structure of upper lobe of lung,BodyStructure,0,1,1,0.9,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
"airway
 structures",Airway structure,SymptomOrSign,0,1,1,0.99,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
MSSA,Methicillin susceptible Staphylococcus aureus,Diagnosis,1,0,1,0.99,Methicillin-empfindliche Staphylococcus aureus,,,,umls,1,Success: 1/1; Sources: umls; Files: 1,FALSE
support,"Support, device",TreatmentName,0,1,1,0.82,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
radiographic,Diagnostic radiologic examination,ExaminationName,0,1,1,0.89,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
vent,Belly of skeletal muscle,TreatmentName,0,1,1,0.98,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
free intraperitoneal air,Pneumoperitoneum,SymptomOrSign,0,1,1,0.97,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
obtundation,Stupor,Diagnosis,0,1,1,1,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
bilateral breast cancer,bilateral breast cancer,Diagnosis,0,1,1,1,,,,,,1,Failed: 1/1; Files: 1,FALSE
POTS,Postural Orthostatic Tachycardia Syndrome,Diagnosis,1,0,1,0.9,Postural-orthostatisches Tachykardiesyndrom - POTS,,,,umls,1,Success: 1/1; Sources: umls; Files: 1,FALSE
MVP,Mitral Valve Prolapse Syndrome,Diagnosis,0,1,1,0.94,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
"nodular
 opacities",Nodular Opacity,SymptomOrSign,0,1,1,0.97,,,,,,1,Failed: 1/1; Files: 1,FALSE
obscured by,Obscure,SymptomOrSign,0,1,1,0.83,,,,,,1,Failed: 1/1; Files: 1,FALSE
coronary artery bypass graft surgery,Coronary Artery Bypass Surgery,TreatmentName,1,0,1,0.99,Kardiale Revaskularisierung mit Bypass-Anastomose,,,,umls,1,Success: 1/1; Sources: umls; Files: 1,FALSE
blunted,Blunted,SymptomOrSign,0,1,1,0.99,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
visual aura,Visual partial seizure,SymptomOrSign,1,0,1,0.98,Fokal einsetzender sensorischer epileptischer Anfall mit visuellen Symptomen,,,,umls,1,Success: 1/1; Sources: umls; Files: 1,FALSE
pathology,Pathology procedure,ExaminationName,0,1,1,0.83,,,,,,1,Failed: 1/1; Files: 1,FALSE
wide,Widening,SymptomOrSign,0,1,1,0.96,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
whole body pain,Total body pain syndrome,SymptomOrSign,0,1,1,0.99,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
"chest
 radiograph",Chest radiograph,ExaminationName,0,1,1,0.99,,,,,,1,Failed: 1/1; Files: 1,FALSE
"Pulmonary
 vasculature",Vasculature of lung,BodyStructure,0,1,1,0.82,,,,,,1,Failed: 1/1; Files: 1,FALSE
"left
 upper lobe",Structure of left upper lobe of lung,BodyStructure,0,1,1,0.9,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
acute lymphoblastic leukemia,Precursor Cell Lymphoblastic Leukemia Lymphoma,Diagnosis,0,1,1,0.99,,,,,umls,1,Failed: 1/1; Sources: umls; Files: 1,FALSE
